====================================================================================================
INTRADAY PARAMETER SWEEP -- 60d, sorted by net expectancy
====================================================================================================
 min_bars  tp_pct  sl_pct  time_stop_bars  n_trades  winrate  payoff  ev_gross   ev_net  sharpe     mdd  tp_hits  sl_hits  eod_exits  time_exits  flip_exits
       30   0.008   0.012               0       293   0.2765   0.719   0.00042 -0.00208  -9.809 -0.4861       22        8        238           0          25
       30   0.003   0.012               0       308   0.3864   0.298   0.00041 -0.00209 -10.855 -0.4843      112        7        179           0          10
       30   0.008   0.005               0       344   0.2762   0.741   0.00040 -0.00210 -10.110 -0.5404       30       73        217           0          24
       30   0.008   0.008               0       311   0.2830   0.728   0.00038 -0.00212 -10.089 -0.5062       29       29        228           0          25
       30   0.002   0.012               0       309   0.3204   0.354   0.00036 -0.00214 -11.324 -0.4931      123        7        170           0           9
       30   0.003   0.005               0       361   0.3767   0.310   0.00036 -0.00214 -10.850 -0.5495      127       70        154           0          10
       30   0.003   0.008               0       328   0.3902   0.296   0.00033 -0.00217 -10.960 -0.5197      120       28        170           0          10
       30   0.008   0.003               0       403   0.2457   0.796   0.00033 -0.00217 -11.250 -0.5961       34      145        201           0          23
       30   0.005   0.012               0       298   0.3020   0.532   0.00032 -0.00218 -10.943 -0.4937       60        8        211           0          19
       30   0.002   0.005               0       363   0.3196   0.360   0.00031 -0.00219 -11.244 -0.5581      139       70        145           0           9
       30   0.005   0.005               0       351   0.3020   0.540   0.00030 -0.00220 -11.045 -0.5537       73       73        186           0          19
       30   0.008   0.003               6       496   0.1895   0.841   0.00028 -0.00222 -10.906 -0.6823       29      107         35         309          16
       30   0.002   0.008               0       329   0.3283   0.348   0.00028 -0.00222 -11.383 -0.5287      130       28        162           0           9
       30   0.008   0.005               6       446   0.2018   0.772   0.00027 -0.00223 -10.138 -0.6482       25       48         35         321          17
       30   0.003   0.003               0       421   0.3373   0.328   0.00027 -0.00223 -11.588 -0.6178      136      139        139           0           7
       22   0.008   0.005               0       382   0.2749   0.715   0.00026 -0.00224 -11.304 -0.5919       33       85        234           0          30
       30   0.008   0.012               6       409   0.2029   0.728   0.00026 -0.00224  -9.945 -0.6168       19        1         35         337          17
       30   0.008   0.008               6       427   0.2131   0.756   0.00025 -0.00225 -10.033 -0.6341       26       21         35         328          17
       30   0.002   0.003               0       422   0.2938   0.366   0.00024 -0.00226 -11.897 -0.6239      150      139        127           0           6
       22   0.003   0.012               0       330   0.3848   0.301   0.00024 -0.00226 -12.083 -0.5353      113        8        197           0          12
       22   0.008   0.012               0       318   0.2767   0.679   0.00023 -0.00227 -11.092 -0.5314       24        9        255           0          30
       30   0.005   0.008               0       316   0.3070   0.513   0.00023 -0.00227 -11.094 -0.5276       66       29        202           0          19
       30   0.005   0.005               6       450   0.2133   0.627   0.00022 -0.00228 -10.519 -0.6585       64       48         35         289          14
       22   0.003   0.005               0       396   0.3712   0.318   0.00022 -0.00228 -12.126 -0.6049      130       83        171           0          12
       30   0.005   0.012               6       411   0.2117   0.620   0.00022 -0.00228 -10.209 -0.6243       57        1         35         304          14
       22   0.008   0.008               0       338   0.2840   0.689   0.00021 -0.00229 -11.406 -0.5555       31       32        245           0          30
       30   0.005   0.003               0       410   0.2683   0.557   0.00021 -0.00229 -12.097 -0.6193       73      145        175           0          17
