min_atr_pct,min_vix,n_trades,winrate,payoff,ev_gross,ev_net,sharpe,mdd,tp_hits,sl_hits,eod_exits
0.0025,22.0,16,0.5625,0.536,0.00153,-0.00097,-2.589,-0.0303,6,6,4
0.0025,0.0,38,0.5789,0.455,0.00138,-0.00112,-3.666,-0.0568,14,13,11
0.0025,15.0,36,0.5556,0.473,0.00121,-0.00129,-4.141,-0.0568,13,13,10
0.0025,18.0,30,0.5,0.57,0.00098,-0.00152,-4.593,-0.0517,11,12,7
0.0018,0.0,125,0.44,0.495,0.00057,-0.00193,-8.004,-0.2375,44,39,41
0.0018,18.0,101,0.4257,0.518,0.00046,-0.00204,-8.506,-0.1969,35,34,31
0.0018,15.0,121,0.4215,0.503,0.00043,-0.00207,-8.581,-0.2375,41,39,40
0.0018,22.0,65,0.4,0.505,0.00027,-0.00223,-8.928,-0.1408,19,21,24
0.0012,0.0,278,0.3849,0.457,0.00022,-0.00228,-9.678,-0.4942,76,79,118
0.0008,0.0,356,0.3287,0.494,0.0002,-0.0023,-10.966,-0.5737,77,85,175
0.0005,0.0,385,0.3039,0.517,0.00017,-0.00233,-12.149,-0.6049,77,85,201
0.0,0.0,388,0.3015,0.519,0.00017,-0.00233,-12.27,-0.6078,77,85,204
0.0012,15.0,273,0.3736,0.458,0.00014,-0.00236,-10.085,-0.4942,72,79,117
0.0008,15.0,351,0.3191,0.493,0.00013,-0.00237,-11.371,-0.5737,73,85,174
0.0005,15.0,380,0.2947,0.516,0.0001,-0.0024,-12.606,-0.6043,73,85,200
0.0,15.0,383,0.2924,0.519,0.0001,-0.0024,-12.733,-0.6071,73,85,203
0.0012,18.0,226,0.3761,0.459,7e-05,-0.00243,-10.402,-0.4359,61,70,92
0.0008,18.0,278,0.3309,0.489,5e-05,-0.00245,-11.338,-0.5009,63,74,129
0.0005,18.0,296,0.3108,0.506,1e-05,-0.00249,-12.354,-0.5284,63,74,146
0.0,18.0,298,0.3087,0.509,1e-05,-0.00249,-12.433,-0.5301,63,74,148
0.0,22.0,178,0.3258,0.476,-0.0,-0.0025,-11.915,-0.37,38,49,81
0.0008,22.0,178,0.3258,0.476,-0.0,-0.0025,-11.915,-0.37,38,49,81
0.0005,22.0,178,0.3258,0.476,-0.0,-0.0025,-11.915,-0.37,38,49,81
0.0012,22.0,151,0.351,0.441,-0.00016,-0.00266,-11.361,-0.3407,35,48,65
0.0005,28.0,19,0.1579,0.192,-0.00223,-0.00473,-91.08,-0.0619,1,11,7
0.0,28.0,19,0.1579,0.192,-0.00223,-0.00473,-91.08,-0.0619,1,11,7
0.0008,28.0,19,0.1579,0.192,-0.00223,-0.00473,-91.08,-0.0619,1,11,7
0.0012,28.0,17,0.1176,0.22,-0.00282,-0.00532,-94.517,-0.0625,1,11,5
0.0018,28.0,8,0.0,0.0,-0.00321,-0.00571,-18.889,-0.0373,0,5,3
0.0025,28.0,3,0.0,0.0,-0.005,-0.0075,,0.0,0,3,0
