min_atr_pct,min_tp_pct,min_sl_pct,n,winrate,ev_gross,ev_net,payoff,tp_hits,sl_hits
0.003,0.01,0.012,8,0.625,0.0041,0.0016,1.456,2,0
0.003,0.012,0.012,8,0.625,0.00398,0.00148,1.395,1,0
0.003,0.015,0.012,8,0.625,0.00386,0.00136,1.328,0,0
0.003,0.02,0.012,8,0.625,0.00386,0.00136,1.328,0,0
0.003,0.018,0.012,8,0.625,0.00386,0.00136,1.328,0,0
0.003,0.02,0.007,10,0.6,0.00305,0.00055,0.816,0,2
0.003,0.018,0.007,10,0.6,0.00305,0.00055,0.816,0,2
0.003,0.015,0.007,10,0.6,0.00305,0.00055,0.816,0,2
0.003,0.012,0.007,10,0.6,0.00305,0.00055,0.816,2,2
0.003,0.018,0.01,10,0.6,0.00303,0.00053,0.786,0,2
0.003,0.02,0.01,10,0.6,0.00303,0.00053,0.786,0,2
0.003,0.015,0.01,10,0.6,0.00303,0.00053,0.786,0,2
0.003,0.01,0.007,10,0.6,0.00294,0.00044,0.787,3,2
0.003,0.012,0.01,10,0.6,0.00292,0.00042,0.76,2,2
0.003,0.012,0.008,10,0.6,0.00291,0.00041,0.774,2,2
0.003,0.015,0.008,10,0.6,0.00291,0.00041,0.774,0,2
0.003,0.018,0.008,10,0.6,0.00291,0.00041,0.774,0,2
0.003,0.02,0.008,10,0.6,0.00291,0.00041,0.774,0,2
0.003,0.01,0.01,10,0.6,0.00281,0.00031,0.736,3,2
0.003,0.01,0.008,10,0.6,0.00281,0.00031,0.746,3,2
0.0025,0.01,0.012,22,0.5909,0.0028,0.0003,0.768,6,1
0.0025,0.015,0.012,22,0.5455,0.00268,0.00018,0.887,1,1
0.0025,0.015,0.007,24,0.5417,0.00264,0.00014,0.886,1,6
0.0025,0.01,0.007,24,0.5833,0.00263,0.00013,0.744,7,6
0.0025,0.012,0.012,22,0.5455,0.00258,8e-05,0.857,3,1
0.0025,0.012,0.007,24,0.5417,0.00251,1e-05,0.849,4,6
0.0025,0.015,0.01,24,0.5417,0.00251,1e-05,0.85,1,3
