pool,signal,gated,wk_mean,wk_median,wk_p_hit_3pct,wk_worst,wk_best,wk_n,full_ret,full_sharpe,full_mdd,hold_ret,hold_sharpe,hold_mdd,gate_pass
lev4,rsi,True,0.0057,0.0008,0.2908,-0.3231,0.2394,282,1.9619,0.656,-0.5113,1.2071,0.874,-0.3638,False
lev4,rsi,False,0.0074,0.0081,0.3688,-0.3231,0.4688,282,1.5258,0.599,-0.7749,1.2756,0.834,-0.6307,False
lev4,mom12w,True,0.0127,0.0008,0.344,-0.3221,0.3569,282,11.3785,1.034,-0.6067,5.6953,1.409,-0.6067,False
lev4,mom12w,False,0.0135,0.0112,0.422,-0.3221,0.4482,282,9.1733,0.943,-0.808,7.189,1.457,-0.686,False
lev4,mom4w,True,0.009,0.0008,0.3191,-0.3231,0.3569,282,4.7234,0.841,-0.5793,5.0607,1.444,-0.3595,False
lev4,mom4w,False,0.0087,0.0065,0.3901,-0.3318,0.3569,282,2.2585,0.671,-0.8105,4.573,1.305,-0.6719,False
lev4,rsi_x_mom,True,0.0116,0.0008,0.344,-0.3221,0.3553,282,8.6464,0.974,-0.5821,5.1519,1.382,-0.5821,False
lev4,rsi_x_mom,False,0.013,0.0101,0.422,-0.3221,0.4482,282,8.1499,0.921,-0.7787,6.5354,1.431,-0.6846,False
sectors,rsi,True,0.0034,0.0008,0.1028,-0.0754,0.0983,282,1.4118,1.091,-0.2097,0.7322,1.513,-0.161,True
sectors,rsi,False,0.0048,0.0055,0.1489,-0.1716,0.1345,282,2.2926,1.11,-0.2581,0.7158,1.203,-0.2581,False
sectors,mom12w,True,0.0029,0.0008,0.1348,-0.0845,0.0997,282,1.036,0.803,-0.2362,0.4525,0.965,-0.1899,True
sectors,mom12w,False,0.0037,0.0056,0.1702,-0.1716,0.1345,282,1.3456,0.786,-0.3226,0.3626,0.731,-0.2887,False
sectors,mom4w,True,0.0034,0.0008,0.1312,-0.0754,0.0997,282,1.3817,0.991,-0.2061,0.5411,1.146,-0.1532,True
sectors,mom4w,False,0.0044,0.005,0.1809,-0.1716,0.1034,282,1.8803,0.969,-0.2547,0.5327,0.985,-0.2547,False
sectors,rsi_x_mom,True,0.004,0.0011,0.1418,-0.0754,0.0997,282,1.8192,1.151,-0.1921,0.7168,1.414,-0.1707,True
sectors,rsi_x_mom,False,0.0044,0.0055,0.1773,-0.1716,0.1345,282,1.9455,0.974,-0.3424,0.5489,1.018,-0.2763,False
sectors+lev,rsi,True,0.0047,0.0007,0.1418,-0.1822,0.2394,282,2.1675,0.855,-0.2467,1.6457,1.409,-0.224,True
sectors+lev,rsi,False,0.0058,0.0056,0.1809,-0.1822,0.238,282,2.933,0.907,-0.3087,1.2597,1.128,-0.3087,False
