feature,horizon,ic_pooled,n,p_value,verdict
term_spread_chg_5d,1,-0.0485,24831,0.0,KEEP
y10_chg_5d,1,-0.0484,24831,0.0,KEEP
hy_ig_z,1,-0.0424,24318,0.0,KEEP
y10_z,1,-0.0377,24318,0.0,KEEP
tlt_z,1,0.0324,24318,0.0,KEEP
tlt_chg_21d,1,0.0296,24687,0.0,KEEP
dxy_chg_21d,1,-0.0257,24687,0.0001,KEEP
term_spread,1,-0.0239,24876,0.0002,KEEP
dxy_z,1,-0.0231,24318,0.0003,KEEP
oil_chg_5d,1,-0.0224,24831,0.0004,KEEP
oil_z,1,-0.0212,24318,0.001,KEEP
gold_z,1,0.0193,24318,0.0026,KEEP
hy_ig_logratio,1,-0.0178,24876,0.0049,KEEP
gold_chg_21d,1,0.0174,24687,0.0063,KEEP
oil_chg_21d,1,-0.013,24687,0.0406,KEEP
vvix_z,1,-0.0069,24318,0.279,REJECT
oil_chg_5d,5,-0.0332,24795,0.0,KEEP
hy_ig_z,5,-0.0293,24282,0.0,KEEP
vvix_z,5,0.022,24282,0.0006,KEEP
y10_z,5,-0.0214,24282,0.0009,KEEP
oil_z,5,-0.0181,24282,0.0048,KEEP
tlt_z,5,0.0169,24282,0.0086,KEEP
y10_chg_5d,5,-0.0168,24795,0.0081,KEEP
term_spread,5,-0.0164,24840,0.0096,KEEP
gold_chg_21d,5,0.0157,24651,0.014,KEEP
hy_ig_logratio,5,-0.0137,24840,0.0303,KEEP
dxy_z,5,-0.0136,24282,0.0335,KEEP
gold_z,5,0.0106,24282,0.0974,REJECT
tlt_chg_21d,5,0.0076,24651,0.2301,REJECT
oil_chg_21d,5,-0.0074,24651,0.243,REJECT
dxy_chg_21d,5,-0.0059,24651,0.3564,REJECT
term_spread_chg_5d,5,-0.0029,24795,0.6467,REJECT
term_spread_chg_5d,21,0.0365,24651,0.0,KEEP
y10_chg_5d,21,0.0223,24651,0.0005,KEEP
oil_chg_5d,21,0.018,24651,0.0048,KEEP
term_spread,21,-0.0118,24696,0.0648,REJECT
hy_ig_z,21,-0.0109,24138,0.0911,REJECT
gold_chg_21d,21,0.0101,24507,0.1148,REJECT
hy_ig_logratio,21,-0.0083,24696,0.1937,REJECT
vvix_z,21,0.0074,24138,0.2528,REJECT
tlt_chg_21d,21,-0.0071,24507,0.2681,REJECT
oil_chg_21d,21,0.0047,24507,0.4647,REJECT
gold_z,21,0.0033,24138,0.6075,REJECT
tlt_z,21,0.0028,24138,0.6597,REJECT
dxy_z,21,0.0026,24138,0.6911,REJECT
oil_z,21,0.0019,24138,0.7683,REJECT
y10_z,21,-0.0005,24138,0.942,REJECT
dxy_chg_21d,21,-0.0003,24507,0.9631,REJECT
