label,n,wr,avg_day_pct,sharpe,mdd_pct,total_ret_pct
v3 top-3 thr=0.53,247,0.5182,0.0117,0.21,-27.24,10.37
v3 top-3 thr=0.55,242,0.5,0.0078,0.14,-27.24,4.6
v3 top-3 thr=0.58,217,0.5023,0.0113,0.23,-27.52,10.49
v3 top-3 thr=0.6,203,0.4877,0.0028,0.06,-33.35,-1.55
v3 top-3 thr=0.62,194,0.4845,0.0001,0.0,-35.18,-5.25
v3 top-5 thr=0.53,247,0.4818,0.0103,0.19,-24.54,8.74
v3 top-5 thr=0.55,242,0.4669,0.0079,0.15,-24.76,5.06
v3 top-5 thr=0.58,217,0.4654,0.0078,0.16,-23.59,5.65
v3 top-5 thr=0.6,203,0.4433,-0.0025,-0.06,-30.3,-8.03
v3 top-5 thr=0.62,194,0.4536,-0.0033,-0.07,-32.93,-9.23
v3 top-7 thr=0.53,246,0.4756,0.0197,0.38,-20.72,23.91
v3 top-7 thr=0.55,241,0.4689,0.0178,0.34,-22.12,20.64
v3 top-7 thr=0.58,216,0.463,0.0158,0.34,-20.47,18.14
v3 top-7 thr=0.6,202,0.4356,0.0038,0.08,-26.87,0.34
v3 top-7 thr=0.62,194,0.4433,0.0054,0.12,-29.51,2.29
ens v2+v3 top-3 thr=0.53,210,0.4381,0.0158,0.32,-25.75,17.34
ens v2+v3 top-3 thr=0.55,198,0.4242,0.0161,0.35,-24.34,18.15
ens v2+v3 top-3 thr=0.58,155,0.3935,-0.0034,-0.09,-27.61,-8.77
ens v2+v3 top-3 thr=0.6,127,0.3858,-0.0082,-0.25,-30.87,-14.15
ens v2+v3 top-5 thr=0.53,210,0.4429,0.02,0.43,-21.07,24.95
ens v2+v3 top-5 thr=0.55,198,0.4293,0.0197,0.44,-20.32,24.52
ens v2+v3 top-5 thr=0.58,155,0.3871,-0.0049,-0.13,-24.45,-10.43
ens v2+v3 top-5 thr=0.6,127,0.378,-0.0096,-0.3,-29.49,-15.65
ens v2+v3 top-7 thr=0.53,210,0.4429,0.0201,0.42,-20.03,24.82
ens v2+v3 top-7 thr=0.55,198,0.4242,0.0204,0.45,-20.04,25.56
ens v2+v3 top-7 thr=0.58,155,0.3806,-0.0044,-0.12,-23.19,-9.99
ens v2+v3 top-7 thr=0.6,127,0.378,-0.0074,-0.23,-28.44,-13.18
v3 top-3 thr=0.55 vix>=16,186,0.457,0.0014,0.03,-24.87,-3.58
v3 top-3 thr=0.55 vix>=18,143,0.4196,0.0069,0.19,-25.74,4.83
v3 top-3 thr=0.55 vix>=20,109,0.4312,0.0089,0.3,-16.43,8.55
v3 top-5 thr=0.55 vix>=16,186,0.414,0.0005,0.01,-24.76,-4.41
v3 top-5 thr=0.55 vix>=18,143,0.4056,0.0085,0.23,-21.67,7.29
v3 top-5 thr=0.55 vix>=20,109,0.4128,0.0118,0.4,-16.45,13.01
v3 top-7 thr=0.55 vix>=16,185,0.4162,0.0082,0.19,-22.12,6.46
v3 top-7 thr=0.55 vix>=18,143,0.3986,0.013,0.37,-20.36,14.48
v3 top-7 thr=0.55 vix>=20,109,0.4128,0.0138,0.48,-14.97,16.36
