section,idx,inv,r,b,h,n,wr,avg,total,sharpe_full,sharpe_2021,ret_2021,ret_2024,mdd,yrs_pos,verdict,w,2015+_days,2015+_sleeve_total,2015+_cash_total,2015+_sleeve_sharpe,2015+_sleeve_mdd,2021+_days,2021+_sleeve_total,2021+_cash_total,2021+_sleeve_sharpe,2021+_sleeve_mdd,2024+_days,2024+_sleeve_total,2024+_cash_total,2024+_sleeve_sharpe,2024+_sleeve_mdd,rank,mean_fwd5,tstat,pct_neg
H1,SPY,SH,2.0,0.02,3.0,37.0,0.351,-0.0046,0.0389,-1.38,-0.57,-0.0543,-0.0335,-0.1557,1/7,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.02,5.0,32.0,0.406,-0.0085,-0.068,-1.62,-1.41,-0.1437,-0.0595,-0.1996,1/7,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.02,10.0,24.0,0.292,-0.0141,-0.1421,-1.41,-0.83,-0.1264,-0.0935,-0.2922,1/7,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.03,3.0,20.0,0.25,-0.0042,0.1426,-1.32,0.58,0.0181,-0.033,-0.1097,1/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.03,5.0,19.0,0.368,-0.0079,0.0605,-1.58,0.49,0.0217,-0.0444,-0.1864,1/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.03,10.0,15.0,0.333,-0.0113,0.0278,-1.03,0.39,0.029,-0.0755,-0.2133,1/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.04,3.0,11.0,0.364,-0.0109,0.109,-3.25,0.45,0.0066,-0.0259,-0.1292,1/5,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.04,5.0,11.0,0.455,-0.0104,0.108,-1.96,2.01,0.0549,-0.0067,-0.1855,1/5,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,2.0,0.04,10.0,9.0,0.444,-0.011,0.1174,-0.89,1.21,0.0631,-0.0092,-0.205,1/5,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.02,3.0,34.0,0.353,-0.0037,0.0838,-1.14,0.72,0.0406,0.032,-0.1769,2/7,insufficient_sample(+),,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.02,5.0,31.0,0.387,-0.0017,0.16,-0.3,0.77,0.0635,-0.0288,-0.1546,2/7,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.02,10.0,23.0,0.304,-0.0118,-0.0851,-1.12,-0.25,-0.0528,-0.0981,-0.2649,2/7,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.03,3.0,25.0,0.2,-0.0064,0.0561,-1.91,0.84,0.0377,-0.0176,-0.1895,1/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.03,5.0,23.0,0.391,0.0003,0.2403,0.09,2.35,0.1762,-0.0315,-0.1515,2/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.03,10.0,20.0,0.35,-0.0033,0.1228,-0.33,0.94,0.1149,-0.0981,-0.1978,1/6,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.04,3.0,18.0,0.5,0.0025,0.299,0.72,4.1,0.1691,-0.0104,-0.1355,2/5,FAIL,,,,,,,,,,,,,,,,,,,,
H1,SPY,SH,3.0,0.04,5.0,18.0,0.444,0.0034,0.3119,0.64,3.47,0.2159,0.0068,-0.1507,2/5,insufficient_sample(+),,,,,,,,,,,,,,,,,,,,
