feature,importance_gain
vix_chg_1d,4838.867530286312
vix_log,3806.208619952202
mom_5d,1838.4743587076664
mom_1d,1694.256909608841
mom_63d,1670.7604913711548
rsi_14,1640.7278279066086
category_code,1629.987705230713
vol_ratio,1564.3709094524384
mom_10d,1530.824606180191
trend_strength,1383.6154800653458
mom_21d,1327.7615308761597
zscore_20,1131.18901014328
vol_21d,1047.0663995742798
vol_5d,995.8686475753784
zscore_20_rank,677.6726919412613
rsi_14_rank,395.88258135318756
mom_63d_rank,381.33452129364014
mom_21d_rank,323.1034197807312
vol_5d_rank,257.9041769504547
is_inverse,150.16914200782776
