feature,importance_gain
hy_ig_logratio,2073.7900017718785
oil_z,1350.1488322019577
oil_chg_5d,1045.9575891532004
gold_chg_21d,1039.1504081189632
mom_63d,1031.1359674502164
vvix_z,1013.9181213155389
vix_log,994.0322280079126
is_inverse,988.5862884521484
rsi_14,982.8764903880656
hy_ig_z,839.1548818051815
term_spread,804.6741430945694
dxy_z,768.1383693479002
tlt_z,734.315253585577
trend_strength,599.1602987349033
y10_chg_5d,566.4679484218359
vol_21d,560.7939403802156
y10_z,558.7678156848997
mom_21d,545.0013196468353
mom_10d,517.0565169900656
mom_5d,514.4271016353741
category_code,441.32954543828964
vol_ratio,414.18242126517
vix_chg_1d,360.299393132329
vol_5d,325.2235838007182
mom_1d,285.5060158148408
zscore_20,265.24137729406357
zscore_20_rank,242.35371035337448
rsi_14_rank,214.6139741539955
mom_21d_rank,213.42132019996643
mom_63d_rank,202.6165347993374
vol_5d_rank,187.27533969283104
