feature,importance_gain
is_inverse,8562.926018714905
hy_ig_logratio,7853.769025325775
vix_log,6410.467666625977
term_spread,6322.1610453128815
oil_z,5641.012333393097
dxy_z,5483.192460536957
vvix_z,5221.88825917244
hy_ig_z,4208.758474588394
oil_chg_5d,3836.3262679576874
gold_chg_21d,3819.647434234619
tlt_z,3598.4345259666443
category_code,3374.5678510665894
y10_chg_5d,3296.8677220344543
y10_z,3012.031249523163
rsi_14,2839.023059874773
mom_63d,2721.561616420746
vol_5d,2160.6089386940002
mom_21d,1764.5516705513
vol_ratio,1693.8349843025208
mom_5d,1623.249592781067
mom_10d,1516.9189030230045
zscore_20,1432.4676515460014
vix_chg_1d,1392.7277488708496
mom_1d,1376.829432785511
vol_21d,1340.8004944324493
trend_strength,1106.5382568836212
rsi_14_rank,990.8606657981873
mom_63d_rank,791.1506028175354
zscore_20_rank,701.0723776817322
mom_21d_rank,305.4604218006134
vol_5d_rank,198.67680072784424
