feature,importance_gain
category_code,11122.845576286316
hy_ig_logratio,7772.457467556
vvix_z,4951.52797460556
vix_term_3m,4870.847358703613
oil_z,4660.74671703577
term_spread,4407.246650218964
vix_log,3964.146336078644
move_z,3788.7273621559143
dxy_z,3782.6622953414917
hy_ig_z,3345.278323173523
skew_chg_5d,3328.5040237903595
oil_chg_5d,3136.8281013965607
tlt_z,3047.0123529434204
mom_63d,2982.503260612488
is_inverse,2928.6416730880737
move_chg_5d,2918.8735461235046
gold_chg_21d,2650.001422047615
rsi_14,2529.3371744155884
vix_term_9d_z,2516.1587114334106
y10_chg_5d,2322.1578674316406
y10_z,2257.796361207962
skew_z,2172.358962059021
vix_term_9d,2080.3098673820496
mom_21d,1770.450853586197
mom_5d,1494.5715308189392
zscore_20,1464.5164159238338
mom_10d,1395.1641092300415
vol_21d,1323.4408757686615
mom_1d,1151.6359803676605
trend_strength,1119.8811905384064
vol_5d,1088.9909329414368
vix_chg_1d,1074.9989130496979
rsi_14_rank,1070.955729007721
vol_ratio,848.3226315975189
zscore_20_rank,846.8564324378967
mom_63d_rank,777.7600426673889
vol_5d_rank,489.10016107559204
mom_21d_rank,352.6550636291504
